觀測時間(hour),測站氣壓(hPa),海平面氣壓(hPa),氣溫(℃),露點溫度(℃),相對溼度(%),風速(m/s),風向(360degree),最大瞬間風(m/s),最大瞬間風風向(360degree),降水量(mm),降水時數(h),日照時數(h),全天空日射量(MJ/㎡),能見度(km),紫外線指數,總雲量(0~10),date
02,1012.7,1016.2,25.0,21.7,82,1.4,150,2.4,170,0.0,0.0,--,0.00,--,0,--,2023-11-10
03,1012.7,1016.2,24.8,21.5,82,1.1,160,2.4,170,0.0,0.0,--,0.00,--,0,--,2023-11-10
04,1012.7,1016.2,24.2,21.1,83,1.1,140,2.5,170,0.0,0.0,--,0.00,--,0,--,2023-11-10
05,1013.1,1016.6,24.2,20.9,82,1.7,160,2.9,160,0.0,0.0,--,0.00,--,0,--,2023-11-10
06,1013.7,1017.2,24.0,20.7,82,1.0,180,4.7,170,0.0,0.0,0.0,0.00,--,0,--,2023-11-10
07,1014.2,1017.7,24.3,20.6,80,2.0,160,3.5,160,0.0,0.0,0.5,0.18,--,0,--,2023-11-10
08,1014.7,1018.2,25.7,21.2,76,1.0,160,3.0,170,0.0,0.0,1.0,0.86,15.0,1,6.0,2023-11-10
09,1015.0,1018.5,27.2,21.5,71,0.8,180,2.6,170,0.0,0.0,1.0,1.47,35.0,2,3.0,2023-11-10
10,1014.8,1018.3,29.5,20.7,59,0.5,300,2.2,160,0.0,0.0,1.0,2.04,--,4,--,2023-11-10
11,1014.3,1017.8,30.0,22.5,64,1.6,320,4.3,320,0.0,0.0,0.3,1.85,15.0,5,9.0,2023-11-10
12,1013.5,1017.0,29.5,22.5,66,1.9,330,6.1,330,0.0,0.0,0.3,1.83,--,5,--,2023-11-10
13,1013.0,1016.5,27.4,23.9,81,1.9,10,5.4,330,T,0.8,0.0,0.68,--,3,--,2023-11-10
14,1012.8,1016.3,26.3,22.6,80,2.5,100,9.5,100,T,0.1,0.0,0.42,25.0,1,10.0,2023-11-10
15,1013.2,1016.7,25.2,21.5,80,4.7,90,10.8,80,T,0.2,0.0,0.35,--,1,--,2023-11-10
16,1013.7,1017.2,24.8,21.1,80,3.2,90,10.2,90,0.0,0.0,0.0,0.14,--,0,--,2023-11-10
17,1014.3,1017.8,24.3,20.8,81,3.3,90,9.7,90,T,0.1,0.0,0.02,15.0,0,10.0,2023-11-10
18,1015.0,1018.6,23.7,20.5,82,2.8,90,10.3,90,T,0.3,0.0,0.00,--,0,--,2023-11-10
19,1015.8,1019.4,23.3,20.6,85,3.0,90,9.3,90,0.0,0.0,0.0,0.00,--,0,--,2023-11-10
20,1015.9,1019.5,23.4,21.5,89,1.7,100,6.3,90,T,0.1,--,0.00,--,0,--,2023-11-10
21,1016.3,1019.9,23.4,21.7,90,2.1,110,4.5,80,T,0.2,--,0.00,--,0,--,2023-11-10
22,1016.6,1020.2,22.9,21.0,89,2.0,130,9.5,70,0.5,0.3,--,0.00,--,0,--,2023-11-10
23,1016.8,1020.4,22.9,20.6,87,2.9,120,5.2,120,0.0,0.0,--,0.00,--,0,--,2023-11-10
24,1016.7,1020.3,22.7,20.4,87,2.6,120,6.6,80,0.0,0.0,--,0.00,--,0,--,2023-11-10
01,1016.7,1020.3,22.6,20.1,86,2.2,80,7.4,80,0.0,0.0,--,0.00,--,0,--,2023-11-11
02,1016.3,1019.9,22.4,19.8,85,2.4,100,6.5,90,0.0,0.0,--,0.00,--,0,--,2023-11-11
03,1016.1,1019.7,22.3,19.9,86,2.5,100,7.7,70,0.0,0.0,--,0.00,--,0,--,2023-11-11
04,1016.1,1019.7,22.0,19.7,87,2.7,90,6.9,70,0.0,0.0,--,0.00,--,0,--,2023-11-11
05,1016.3,1019.9,22.0,19.7,87,1.9,100,7.3,80,0.0,0.0,--,0.00,--,0,--,2023-11-11
06,1016.6,1020.2,21.8,19.7,88,2.4,100,6.1,100,0.0,0.0,0.0,0.00,--,0,--,2023-11-11
07,1017.3,1020.9,21.9,19.8,88,1.9,110,6.3,70,0.0,0.0,0.0,0.05,--,0,--,2023-11-11
08,1017.6,1021.2,22.3,20.2,88,2.6,100,7.8,80,0.0,0.0,0.0,0.37,10.0,1,9.0,2023-11-11
09,1018.0,1021.6,22.5,21.0,91,2.3,90,7.4,80,0.0,0.0,0.0,0.69,12.0,2,9.0,2023-11-11
10,1017.7,1021.3,23.6,20.4,82,3.9,80,9.2,80,0.0,0.0,0.1,1.22,--,3,--,2023-11-11
11,1017.0,1020.5,24.3,20.4,79,3.4,90,10.9,80,0.0,0.0,0.2,1.51,14.0,4,9.0,2023-11-11
12,1016.4,1020.0,23.1,20.8,87,3.4,80,8.7,120,0.0,0.0,0.0,1.12,--,3,--,2023-11-11
13,1015.3,1018.9,23.5,20.1,81,3.8,100,11.0,90,0.0,0.0,0.0,1.16,--,4,--,2023-11-11
14,1015.1,1018.7,23.1,20.3,84,4.0,90,11.1,80,0.0,0.0,0.1,1.33,10.0,4,10.0,2023-11-11
15,1014.9,1018.5,23.1,20.3,84,3.3,90,10.1,80,0.0,0.0,0.0,0.86,--,2,--,2023-11-11
16,1015.2,1018.8,22.5,20.2,87,3.3,90,9.4,100,0.0,0.0,0.0,0.33,--,1,--,2023-11-11
17,1015.8,1019.4,22.0,20.1,89,3.2,90,9.1,40,T,0.4,0.0,0.04,10.0,0,10.0,2023-11-11
18,1016.3,1019.9,21.9,20.5,92,2.8,90,8.5,110,T,0.1,0.0,0.00,--,0,--,2023-11-11
19,1017.3,1020.9,22.1,20.2,89,2.0,100,9.0,90,0.0,0.0,0.0,0.00,--,0,--,2023-11-11
20,1017.8,1021.4,22.0,20.3,90,3.1,100,8.3,110,0.0,0.0,--,0.00,--,0,--,2023-11-11
21,1018.1,1021.7,21.9,20.0,89,2.9,100,8.9,80,0.0,0.0,--,0.00,--,0,--,2023-11-11
22,1018.2,1021.8,21.7,20.3,92,2.3,100,7.7,60,0.0,0.0,--,0.00,--,0,--,2023-11-11
23,1018.1,1021.7,21.7,20.2,91,2.3,120,6.9,90,0.0,0.0,--,0.00,--,0,--,2023-11-11
24,1017.7,1021.3,21.6,20.2,92,2.3,110,6.7,130,0.0,0.0,--,0.00,--,0,--,2023-11-11
01,1017.1,1020.7,21.8,20.1,90,2.7,110,6.7,120,0.0,0.0,--,0.00,--,0,--,2023-11-12
02,1016.8,1020.4,21.8,20.4,92,2.3,100,5.9,120,0.0,0.0,--,0.00,--,0,--,2023-11-12
03,1016.4,1020.0,22.1,20.2,89,2.5,110,6.4,80,0.0,0.0,--,0.00,--,0,--,2023-11-12
04,1016.4,1020.0,21.7,20.5,93,2.5,110,7.6,80,0.0,0.0,--,0.00,--,0,--,2023-11-12
05,1016.7,1020.3,21.6,20.6,94,2.7,120,6.4,130,T,0.1,--,0.00,--,0,--,2023-11-12
06,1017.2,1020.8,21.5,20.7,95,2.4,100,7.2,70,0.5,0.2,0.0,0.00,--,0,--,2023-11-12
07,1018.1,1021.7,21.7,20.3,92,2.7,100,6.6,100,T,0.3,0.0,0.03,--,0,--,2023-11-12
08,1018.9,1022.5,21.9,20.0,89,2.6,90,7.6,100,T,0.3,0.0,0.09,10.0,0,10.0,2023-11-12
09,1019.6,1023.2,22.0,19.7,87,2.6,90,6.0,60,0.0,0.0,0.0,0.28,12.0,1,10.0,2023-11-12
10,1019.7,1023.3,21.9,19.3,85,3.2,90,8.8,70,0.0,0.0,0.0,0.61,--,2,--,2023-11-12
11,1019.3,1022.9,22.0,18.8,82,3.1,80,7.2,90,0.0,0.0,0.0,0.85,15.0,3,10.0,2023-11-12
12,1019.0,1022.6,21.9,19.1,84,2.4,100,8.1,80,0.0,0.0,0.0,0.59,--,2,--,2023-11-12
13,1018.4,1022.0,21.8,17.8,78,2.7,100,8.4,100,0.0,0.0,0.0,0.80,--,3,--,2023-11-12
14,1017.9,1021.5,22.1,17.5,75,3.6,90,9.0,50,0.0,0.0,0.0,0.91,12.0,3,10.0,2023-11-12
15,1018.0,1021.6,20.6,18.9,90,2.4,120,9.2,90,0.0,0.0,0.0,0.41,--,1,--,2023-11-12
16,1018.2,1021.8,20.7,18.8,89,2.5,80,8.9,100,T,0.5,0.0,0.28,--,0,--,2023-11-12
17,1018.7,1022.3,20.5,18.5,88,2.8,90,7.8,110,T,0.6,0.0,0.10,15.0,0,9.0,2023-11-12
18,1019.3,1022.9,20.2,18.5,90,2.8,90,7.9,110,0.0,0.0,0.0,0.00,--,0,--,2023-11-12
19,1020.4,1024.0,20.1,18.1,88,2.9,90,8.2,80,0.5,X,0.0,0.00,--,0,--,2023-11-12
20,1021.2,1024.8,20.1,18.1,88,3.4,90,9.1,80,T,X,--,0.00,--,0,--,2023-11-12
21,1021.8,1025.4,19.9,18.2,90,2.0,90,7.8,120,T,X,--,0.00,--,0,--,2023-11-12
22,1022.1,1025.7,19.8,18.1,90,3.4,90,7.9,80,T,X,--,0.00,--,0,--,2023-11-12
23,1022.4,1026.0,19.1,17.8,92,2.4,100,7.9,40,0.5,X,--,0.00,--,0,--,2023-11-12
24,1022.4,1026.0,18.9,17.4,91,1.6,90,7.3,100,0.5,X,--,0.00,--,0,--,2023-11-12
01,1022.1,1025.7,18.7,17.0,90,2.7,100,7.4,80,T,X,--,0.00,--,0,--,2023-11-13
02,1021.8,1025.4,18.7,17.0,90,2.2,100,7.3,80,T,X,--,0.00,--,0,--,2023-11-13
03,1021.5,1025.1,18.6,16.8,89,2.2,100,6.0,80,T,X,--,0.00,--,0,--,2023-11-13
04,1021.6,1025.2,18.5,16.1,86,2.9,90,7.9,70,0.0,X,--,0.00,--,0,--,2023-11-13
05,1021.7,1025.3,18.7,15.8,83,2.8,90,7.4,90,0.0,X,--,0.00,--,0,--,2023-11-13
06,1022.4,1026.0,18.3,15.6,84,2.8,100,6.9,60,0.0,X,0.0,0.00,--,0,--,2023-11-13
07,1023.1,1026.7,18.2,15.6,85,2.7,90,7.7,60,0.0,X,0.0,0.02,--,0,--,2023-11-13
08,1023.6,1027.2,18.3,15.4,83,2.9,80,8.3,100,0.0,0.0,0.0,0.13,15.0,0,10.0,2023-11-13
09,1024.1,1027.8,18.3,14.8,80,3.3,90,8.9,80,0.0,0.0,0.0,0.19,15.0,0,10.0,2023-11-13
10,1024.1,1027.8,18.2,14.3,78,3.0,80,9.6,110,0.0,0.0,0.0,0.24,--,1,--,2023-11-13
11,1023.5,1027.2,17.7,13.6,77,3.6,90,9.6,80,0.0,0.0,0.0,0.42,20.0,1,10.0,2023-11-13
12,1022.8,1026.5,17.8,13.7,77,3.0,80,9.6,70,0.0,0.0,0.0,0.52,--,2,--,2023-11-13
13,1022.1,1025.8,17.5,14.0,80,3.4,80,9.9,80,0.0,0.0,0.0,0.33,--,1,--,2023-11-13
14,1021.3,1025.0,17.5,14.2,81,3.1,90,10.3,70,0.0,0.0,0.0,0.35,20.0,1,10.0,2023-11-13
15,1021.1,1024.7,18.2,13.3,73,2.7,90,9.3,50,0.0,0.0,0.0,0.35,--,1,--,2023-11-13
16,1021.3,1024.9,18.4,13.1,71,2.6,100,7.7,80,0.0,0.0,0.0,0.24,--,0,--,2023-11-13
17,1021.8,1025.4,18.4,13.1,71,2.5,90,7.6,70,0.0,0.0,0.0,0.08,25.0,0,10.0,2023-11-13
18,1022.2,1025.8,18.6,12.6,68,2.5,90,7.9,120,0.0,0.0,0.0,0.00,--,0,--,2023-11-13
19,1022.5,1026.1,18.5,13.2,71,3.0,100,8.7,110,0.0,0.0,0.0,0.00,--,0,--,2023-11-13
20,1022.9,1026.5,18.1,13.8,76,3.3,90,9.5,120,0.0,0.0,--,0.00,--,0,--,2023-11-13
21,1022.9,1026.5,18.2,13.5,74,2.2,130,7.3,100,0.0,0.0,--,0.00,--,0,--,2023-11-13
22,1022.9,1026.5,18.5,13.6,73,2.0,120,5.4,120,0.0,0.0,--,0.00,--,0,--,2023-11-13
23,1022.2,1025.8,18.3,14.8,80,3.5,110,10.6,110,T,0.1,--,0.00,--,0,--,2023-11-13
24,1021.5,1025.1,18.3,14.6,79,2.4,140,8.5,120,0.0,0.0,--,0.00,--,0,--,2023-11-13
01,1020.8,1024.4,18.5,14.2,76,2.6,120,7.3,130,0.0,0.0,--,0.00,--,0,--,2023-11-14
02,1020.2,1023.8,18.8,13.7,72,3.7,130,7.3,110,0.0,0.0,--,0.00,--,0,--,2023-11-14
03,1019.7,1023.3,18.8,13.9,73,3.3,120,7.1,100,0.0,0.0,--,0.00,--,0,--,2023-11-14
04,1019.3,1022.9,19.1,14.4,74,2.6,120,6.8,120,0.0,0.0,--,0.00,--,0,--,2023-11-14
05,1019.6,1023.2,19.3,14.8,75,1.9,110,6.9,90,0.0,0.0,--,0.00,--,0,--,2023-11-14
06,1020.0,1023.6,19.1,15.0,77,2.4,130,5.0,110,0.0,0.0,0.0,0.00,--,0,--,2023-11-14
07,1020.7,1024.3,19.5,15.2,76,2.6,100,7.2,90,0.0,0.0,0.0,0.02,--,0,--,2023-11-14
08,1021.1,1024.7,19.5,15.4,77,3.1,100,6.8,100,0.0,0.0,0.0,0.07,40.0,0,10.0,2023-11-14
09,1021.3,1024.9,19.7,15.4,76,2.9,100,7.5,100,0.0,0.0,0.0,0.18,40.0,0,10.0,2023-11-14
10,1021.5,1025.1,19.7,16.0,79,3.3,90,9.1,80,0.0,0.0,0.0,0.23,--,1,--,2023-11-14
11,1021.1,1024.7,19.4,16.6,84,3.6,90,9.0,70,0.0,0.0,0.0,0.35,40.0,1,10.0,2023-11-14
12,1019.9,1023.5,19.1,16.7,86,3.7,90,9.4,80,T,0.7,0.0,0.51,--,2,--,2023-11-14
13,1019.0,1022.6,19.1,16.7,86,4.4,90,10.6,90,T,0.4,0.0,0.42,--,1,--,2023-11-14
14,1018.3,1021.9,19.5,16.7,84,3.6,90,10.5,90,T,0.9,0.0,0.49,50.0,1,10.0,2023-11-14
15,1018.3,1021.9,19.9,16.4,80,3.0,90,9.3,80,T,0.8,0.0,0.46,--,1,--,2023-11-14
16,1018.9,1022.5,19.5,16.9,85,3.3,80,10.5,70,T,1.0,0.0,0.14,--,0,--,2023-11-14
17,1018.9,1022.5,19.1,17.3,89,3.3,100,7.6,100,T,1.0,0.0,0.04,25.0,0,10.0,2023-11-14
18,1019.5,1023.1,19.0,17.3,90,2.4,90,8.2,100,T,0.8,0.0,0.00,--,0,--,2023-11-14
19,1019.6,1023.2,19.0,17.3,90,3.2,110,7.1,90,T,0.3,0.0,0.00,--,0,--,2023-11-14
20,1020.4,1024.0,18.9,17.4,91,2.6,100,7.0,90,0.5,0.0,--,0.00,--,0,--,2023-11-14
21,1020.2,1023.8,18.9,17.6,92,2.9,110,8.1,90,0.0,0.0,--,0.00,--,0,--,2023-11-14
22,1020.1,1023.7,19.0,17.7,92,2.6,80,8.0,110,0.0,0.0,--,0.00,--,0,--,2023-11-14
23,1020.3,1023.9,19.0,17.3,90,3.0,90,9.2,70,T,0.1,--,0.00,--,0,--,2023-11-14
24,1020.0,1023.6,19.0,17.2,89,2.7,100,9.3,90,0.0,0.0,--,0.00,--,0,--,2023-11-14
01,1019.9,1023.5,19.2,17.2,88,3.5,90,7.4,80,0.0,0.0,--,0.00,--,0,--,2023-11-15
02,1019.5,1023.1,19.1,17.4,90,3.0,100,8.2,70,0.0,0.0,--,0.00,--,0,--,2023-11-15
03,1019.2,1022.8,19.0,17.8,93,3.4,90,8.0,110,T,0.1,--,0.00,--,0,--,2023-11-15
04,1019.5,1023.1,19.0,17.3,90,3.1,90,8.2,70,0.0,0.0,--,0.00,--,0,--,2023-11-15
05,1019.8,1023.4,19.4,17.2,87,1.8,100,7.7,100,0.0,0.0,--,0.00,--,0,--,2023-11-15
06,1020.5,1024.1,19.3,17.3,88,2.5,90,7.5,90,0.0,0.0,0.0,0.00,--,0,--,2023-11-15
07,1021.3,1024.9,19.5,17.1,86,2.8,90,7.5,80,0.0,0.0,0.0,0.06,--,0,--,2023-11-15
08,1021.7,1025.3,19.8,17.4,86,3.7,100,9.3,60,0.0,0.0,0.1,0.44,50.0,1,8.0,2023-11-15
09,1021.9,1025.5,20.7,17.3,81,3.8,100,9.1,50,0.0,0.0,0.1,0.91,60.0,2,9.0,2023-11-15
10,1021.5,1025.1,21.6,17.4,77,4.4,100,11.4,100,0.0,0.0,0.4,1.58,--,4,--,2023-11-15
11,1020.7,1024.3,22.3,17.2,73,3.6,100,11.9,80,0.0,0.0,0.4,1.64,60.0,5,9.0,2023-11-15
12,1019.4,1023.0,22.1,16.8,72,4.3,100,11.4,90,0.0,0.0,0.5,1.92,--,6,--,2023-11-15
13,1018.3,1021.9,22.2,16.7,71,4.9,100,12.6,50,0.0,0.0,0.8,2.05,--,6,--,2023-11-15
14,1017.8,1021.4,22.7,17.0,70,6.0,100,12.7,100,0.0,0.0,0.7,1.82,50.0,4,5.0,2023-11-15
15,1017.9,1021.5,22.4,16.7,70,4.6,110,13.6,100,0.0,0.0,0.8,1.48,--,3,--,2023-11-15
16,1017.9,1021.5,22.1,16.6,71,3.7,110,14.2,100,0.0,0.0,0.7,0.76,--,1,--,2023-11-15
17,1018.3,1021.9,21.6,16.8,74,5.5,100,11.2,110,0.0,0.0,0.8,0.27,30.0,0,3.0,2023-11-15
18,1018.5,1022.1,21.3,17.1,77,4.0,100,10.3,100,0.0,0.0,0.0,0.00,--,0,--,2023-11-15
19,1018.7,1022.3,21.2,17.4,79,3.3,100,9.1,80,0.0,0.0,0.0,0.00,--,0,--,2023-11-15
20,1018.9,1022.5,21.1,17.5,80,3.6,100,9.7,100,0.0,0.0,--,0.00,--,0,--,2023-11-15
21,1018.9,1022.5,21.2,18.4,84,3.8,90,9.9,80,0.0,0.0,--,0.00,--,0,--,2023-11-15
22,1018.6,1022.2,21.2,19.0,87,3.9,80,9.6,80,0.0,0.0,--,0.00,--,0,--,2023-11-15
23,1018.3,1021.9,21.5,19.3,87,2.9,90,8.6,90,0.0,0.0,--,0.00,--,0,--,2023-11-15
24,1017.3,1020.9,21.1,19.8,92,2.4,100,7.1,50,0.0,0.0,--,0.00,--,0,--,2023-11-15
01,1017.0,1020.6,21.4,19.5,89,2.8,90,7.9,80,0.0,0.0,--,0.00,--,0,--,2023-11-16
02,1016.6,1020.2,21.7,19.3,86,1.7,90,5.9,60,0.0,0.0,--,0.00,--,0,--,2023-11-16
03,1016.3,1019.9,21.1,19.4,90,0.8,110,4.4,90,0.0,0.0,--,0.00,--,0,--,2023-11-16
04,1016.1,1019.7,21.2,19.3,89,1.2,140,2.0,80,0.0,0.0,--,0.00,--,0,--,2023-11-16
05,1016.8,1020.4,21.0,19.3,90,0.6,220,1.9,220,0.0,0.0,--,0.00,--,0,--,2023-11-16
06,1017.8,1021.4,21.2,19.3,89,1.1,200,2.8,250,0.0,0.0,0.0,0.00,--,0,--,2023-11-16
07,1018.5,1022.1,21.2,19.1,88,0.4,180,2.5,170,0.0,0.0,0.0,0.04,--,0,--,2023-11-16
08,1018.7,1022.3,22.9,19.1,79,0.8,280,3.8,300,0.0,0.0,0.3,0.46,12.0,0,8.0,2023-11-16
09,1018.8,1022.4,24.0,19.3,75,2.0,240,5.1,220,0.0,0.0,0.4,1.04,15.0,2,9.0,2023-11-16
10,1018.8,1022.3,25.8,19.9,70,2.0,270,7.0,280,0.0,0.0,0.5,1.68,--,3,--,2023-11-16
11,1018.4,1021.9,25.4,21.1,77,3.9,320,8.4,340,T,0.2,0.1,1.33,30.0,4,9.0,2023-11-16
12,1018.0,1021.6,21.8,20.3,91,4.0,320,9.7,320,0.5,1.0,0.1,1.15,--,3,--,2023-11-16
13,1017.7,1021.3,22.1,19.8,87,3.2,330,10.0,340,T,0.5,0.0,0.65,--,2,--,2023-11-16
14,1017.5,1021.1,21.9,19.1,84,1.9,330,7.4,300,0.0,0.0,0.0,0.86,12.0,2,9.0,2023-11-16
15,1017.5,1021.1,21.8,18.8,83,2.8,320,7.5,320,T,0.6,0.0,0.71,--,1,--,2023-11-16
16,1017.9,1021.5,21.7,18.7,83,3.0,330,8.3,320,T,0.2,0.0,0.11,--,0,--,2023-11-16
17,1018.2,1021.8,21.2,17.4,79,1.9,320,7.9,330,T,0.1,0.0,0.05,30.0,0,10.0,2023-11-16
18,1019.7,1023.3,18.7,17.9,95,2.0,130,6.6,320,2.0,0.9,0.0,0.00,--,0,--,2023-11-16
19,1020.9,1024.5,18.0,17.0,94,1.4,60,4.8,100,3.0,1.0,0.0,0.00,--,0,--,2023-11-16
20,1021.5,1025.1,17.8,16.7,93,1.1,140,4.2,50,1.0,1.0,--,0.00,--,0,--,2023-11-16
21,1021.6,1025.2,17.5,16.2,92,2.3,120,4.3,120,T,0.3,--,0.00,--,0,--,2023-11-16
22,1022.0,1025.7,17.1,16.1,94,0.8,30,3.4,120,2.0,1.0,--,0.00,--,0,--,2023-11-16
23,1022.1,1025.8,16.7,15.9,95,1.1,160,2.4,20,0.5,0.7,--,0.00,--,0,--,2023-11-16
24,1022.2,1025.9,16.5,15.4,93,1.3,190,3.0,200,T,0.4,--,0.00,--,0,--,2023-11-16
01,1022.2,1025.9,16.5,15.2,92,1.8,170,3.5,170,0.5,0.1,--,0.00,--,0,--,2023-11-17
02,1021.5,1025.2,16.1,15.1,94,1.3,200,3.6,140,T,0.3,--,0.00,--,0,--,2023-11-17
03,1021.3,1025.0,16.4,14.6,89,1.8,220,2.6,170,T,0.1,--,0.00,--,0,--,2023-11-17
04,1021.5,1025.2,16.1,14.5,90,1.3,210,3.0,230,T,0.2,--,0.00,--,0,--,2023-11-17
05,1021.4,1025.1,15.8,14.3,91,0.9,190,2.7,170,0.0,0.0,--,0.00,--,0,--,2023-11-17
06,1021.9,1025.6,15.8,14.7,93,0.4,140,2.4,160,0.0,0.0,0.0,0.00,--,0,--,2023-11-17
07,1022.5,1026.2,16.2,12.0,76,0.9,20,2.6,360,0.0,0.0,0.0,0.06,--,0,--,2023-11-17
08,1022.5,1026.2,16.9,10.5,66,1.1,20,3.2,40,0.0,0.0,0.0,0.35,30.0,1,5.0,2023-11-17
09,1022.8,1026.5,17.5,9.4,59,1.1,30,3.4,360,0.0,0.0,0.0,0.57,30.0,1,8.0,2023-11-17
10,1022.6,1026.2,17.6,9.0,57,2.1,20,4.4,30,0.0,0.0,0.0,0.34,--,1,--,2023-11-17
11,1021.8,1025.4,18.3,8.9,54,1.3,250,4.2,40,0.0,0.0,0.0,0.60,30.0,2,7.0,2023-11-17
12,1020.8,1024.4,19.0,8.1,49,0.9,80,4.9,340,0.0,0.0,0.1,1.46,--,4,--,2023-11-17
13,1019.6,1023.2,19.9,8.6,48,1.5,330,3.8,330,0.0,0.0,0.6,1.96,--,5,--,2023-11-17
14,1019.2,1022.8,20.1,7.8,45,3.5,320,7.7,340,0.0,0.0,1.0,2.28,30.0,4,6.0,2023-11-17
15,1019.4,1023.0,19.7,7.5,45,2.8,340,6.6,330,0.0,0.0,1.0,1.64,--,2,--,2023-11-17
16,1019.7,1023.3,18.3,7.4,49,1.3,340,6.2,330,0.0,0.0,1.0,0.91,--,1,--,2023-11-17
17,1020.2,1023.8,17.5,8.1,54,1.0,60,5.4,50,0.0,0.0,0.8,0.26,30.0,0,4.0,2023-11-17
18,1020.7,1024.4,16.6,6.7,52,1.7,60,5.2,90,0.0,0.0,0.0,0.00,--,0,--,2023-11-17
19,1021.1,1024.8,16.4,6.5,52,2.1,90,5.0,70,0.0,0.0,0.0,0.00,--,0,--,2023-11-17
20,1021.6,1025.3,15.5,8.0,61,2.1,140,5.3,90,0.0,0.0,--,0.00,--,0,--,2023-11-17
21,1021.7,1025.4,14.8,9.2,69,1.4,140,4.0,140,0.0,0.0,--,0.00,--,0,--,2023-11-17
22,1021.6,1025.3,14.4,8.1,66,2.6,130,4.3,160,0.0,0.0,--,0.00,--,0,--,2023-11-17
23,1021.7,1025.4,14.0,8.6,70,1.5,120,5.1,150,0.0,0.0,--,0.00,--,0,--,2023-11-17
24,1021.6,1025.3,13.6,8.9,73,1.7,140,3.3,140,0.0,0.0,--,0.00,--,0,--,2023-11-17
01,1021.6,1025.3,13.4,8.9,74,1.0,170,3.5,140,0.0,0.0,--,0.00,--,0,--,2023-11-18
02,1021.2,1024.9,13.3,8.6,73,1.4,150,2.7,160,0.0,0.0,--,0.00,--,0,--,2023-11-18
03,1021.3,1025.0,13.0,8.7,75,1.1,160,3.0,180,0.0,0.0,--,0.00,--,0,--,2023-11-18
04,1021.2,1024.9,12.8,8.9,77,1.0,170,3.5,200,0.0,0.0,--,0.00,--,0,--,2023-11-18
05,1021.5,1025.2,12.6,8.9,78,1.1,160,2.3,180,0.0,0.0,--,0.00,--,0,--,2023-11-18
06,1022.2,1025.9,12.7,8.8,77,1.7,170,2.9,160,0.0,0.0,0.0,0.00,--,0,--,2023-11-18
07,1022.8,1026.5,13.0,8.5,74,1.7,140,3.6,160,0.0,0.0,0.2,0.10,--,0,--,2023-11-18
08,1023.3,1027.0,14.3,9.1,71,0.9,160,3.7,150,0.0,0.0,0.6,0.52,30.0,1,4.0,2023-11-18
09,1023.3,1027.0,17.0,9.2,60,1.0,120,3.1,140,0.0,0.0,1.0,1.42,30.0,2,4.0,2023-11-18
10,1022.6,1026.2,19.3,7.1,45,1.8,100,5.2,90,0.0,0.0,0.8,1.76,--,3,--,2023-11-18
11,1022.0,1025.6,19.9,7.3,44,2.1,60,8.1,80,0.0,0.0,0.5,1.77,30.0,4,7.0,2023-11-18
12,1020.9,1024.5,19.6,6.0,41,3.2,50,10.1,80,0.0,0.0,0.7,2.18,--,5,--,2023-11-18
13,1020.0,1023.6,20.4,6.7,41,3.1,80,8.3,80,0.0,0.0,1.0,2.67,--,6,--,2023-11-18
14,1019.6,1023.2,20.0,6.7,42,2.4,50,9.7,100,0.0,0.0,1.0,2.26,30.0,4,4.0,2023-11-18
15,1019.3,1022.9,18.8,5.7,42,3.3,60,12.0,90,0.0,0.0,1.0,1.66,--,2,--,2023-11-18
16,1019.3,1022.9,17.9,6.1,46,3.8,40,10.6,130,0.0,0.0,1.0,0.93,--,1,--,2023-11-18
17,1019.6,1023.2,17.4,8.0,54,2.8,90,9.3,70,0.0,0.0,0.7,0.25,30.0,0,3.0,2023-11-18
18,1020.1,1023.7,17.0,7.1,52,2.6,90,8.3,110,0.0,0.0,0.0,0.00,--,0,--,2023-11-18
19,1020.8,1024.5,16.8,7.7,55,2.9,90,9.6,80,0.0,0.0,0.0,0.00,--,0,--,2023-11-18
20,1021.0,1024.7,16.7,7.6,55,2.9,80,8.7,100,0.0,0.0,--,0.00,--,0,--,2023-11-18
21,1021.2,1024.9,16.7,8.4,58,2.5,90,8.1,70,0.0,0.0,--,0.00,--,0,--,2023-11-18
22,1021.2,1024.9,16.5,9.0,61,2.1,90,6.2,90,0.0,0.0,--,0.00,--,0,--,2023-11-18
23,1020.7,1024.4,16.1,9.3,64,2.0,100,5.4,90,0.0,0.0,--,0.00,--,0,--,2023-11-18
24,1020.6,1024.3,16.2,9.2,63,1.8,90,5.2,70,0.0,0.0,--,0.00,--,0,--,2023-11-18
01,1020.0,1023.7,15.4,9.1,66,1.4,120,3.6,90,0.0,0.0,--,0.00,--,0,--,2023-11-19
02,1019.3,1023.0,15.3,9.9,70,2.7,40,4.5,30,0.0,0.0,--,0.00,--,0,--,2023-11-19
03,1019.1,1022.8,14.5,9.7,73,1.0,180,4.8,90,0.0,0.0,--,0.00,--,0,--,2023-11-19
04,1018.9,1022.6,14.2,10.0,76,1.6,160,2.6,170,0.0,0.0,--,0.00,--,0,--,2023-11-19
05,1018.6,1022.3,13.8,10.0,78,1.4,150,4.0,160,0.0,0.0,--,0.00,--,0,--,2023-11-19
06,1019.0,1022.7,13.4,10.4,82,0.8,160,2.3,170,0.0,0.0,0.0,0.00,--,0,--,2023-11-19
